2016-01-01,pathlib,23586
2016-01-01,pathlib2,420
2016-01-01,pathos,146
2016-01-01,pathspec,11608
2016-01-01,patsy,31980
2016-01-01,pbr,942348
2016-01-01,pexpect,113363
2016-01-01,pg8000,15043
2016-01-01,phonenumbers,34723
2016-01-01,pickleshare,113423
2016-01-01,pika,154549
2016-01-01,pillow,269407
2016-01-01,pip,1797467
2016-01-01,piprot,754
2016-01-01,pip-tools,7677
2016-01-01,pkginfo,12887
2016-01-01,plotly,6791
2016-01-01,pluggy,99681
2016-01-01,ply,62022
2016-01-01,pony,724
2016-01-01,portalocker,2015
2016-01-01,portend,157
2016-01-01,pox,3775
2016-01-01,ppft,3728
2016-01-01,pre-commit,7660
2016-01-01,preshed,1248
2016-01-01,prettytable,108188
2016-01-01,priority,117
2016-01-01,progressbar2,3437
2016-01-01,prometheus-client,942
2016-01-01,prompt-toolkit,17175
2016-01-01,protobuf3-to-dict,132
2016-01-01,protobuf,85715
2016-01-01,psutil,339060
2016-01-01,psycopg2,244721
2016-01-01,psycopg2cffi,1752
2016-01-01,ptyprocess,97916
2016-01-01,py,272435
2016-01-01,py4j,6135
2016-01-01,pyaml,26724
2016-01-01,pyasn1,1790728
2016-01-01,pyasn1-modules,156257
2016-01-01,pybind11,56
2016-01-01,pycountry,17311
2016-01-01,pycparser,657051
2016-01-01,py-cpuinfo,917
2016-01-01,pycrypto,604174
2016-01-01,pycryptodome,2537
2016-01-01,pydot,11965
2016-01-01,pydub,1968
2016-01-01,pyee,490
2016-01-01,pyflakes,239264
2016-01-01,pygithub,12544
2016-01-01,pygments,444504
2016-01-01,pyhcl,1109
2016-01-01,pyjwt,63126
2016-01-01,pylint,113046
2016-01-01,pymongo,168013
2016-01-01,pymssql,10916
2016-01-01,pynacl,3931
2016-01-01,pyodbc,67604
2016-01-01,pyopenssl,315494
2016-01-01,pyotp,1050
2016-01-01,pyparsing,186350
2016-01-01,pypdf,10718
2016-01-01,pypdf2,23932
2016-01-01,pyproj,8009
2016-01-01,pyramid,17722
2016-01-01,pyramid-chameleon,4130
2016-01-01,pyrsistent,46724
2016-01-01,pyserial,28007
2016-01-01,pysftp,16596
2016-01-01,pysocks,8718
2016-01-01,pytest,194031
2016-01-01,pytest-asyncio,736
2016-01-01,pytest-cov,85926
2016-01-01,pytest-html,5928
2016-01-01,pytest-mock,11143
2016-01-01,pytest-rerunfailures,1294
2016-01-01,pytest-runner,110123
2016-01-01,pytest-timeout,16544
2016-01-01,pytest-xdist,31048
2016-01-01,python-daemon,89121
2016-01-01,python-dateutil,1905296
2016-01-01,python-docx,3136
2016-01-01,python-dotenv,2607
2016-01-01,python-gitlab,1946
2016-01-01,python-gnupg,16713
2016-01-01,python-jose,1096
2016-01-01,python-json-logger,7948
2016-01-01,python-levenshtein,25747
2016-01-01,python-magic,54386
2016-01-01,python-multipart,46
2016-01-01,python-slugify,10933
2016-01-01,python-utils,442
2016-01-01,pytimeparse,2968
2016-01-01,pytz,740507
2016-01-01,pywavelets,1494
2016-01-01,pyzmq,69401
2016-01-01,qtconsole,25426
2016-01-01,qtpy,1010
2016-01-01,querystring-parser,500
2016-01-01,ratelimit,42
2016-01-01,readme-renderer,1142
2016-01-01,redis,251688
2016-01-01,reg,475
2016-01-01,regex,27245
2016-01-01,reportlab,30440
2016-01-01,requests,1998474
2016-01-01,requests-aws4auth,1200
2016-01-01,requests-file,1798
2016-01-01,requests-futures,32585
2016-01-01,requests-mock,23859
2016-01-01,requests-ntlm,7605
2016-01-01,requests-oauthlib,92137
2016-01-01,requests-toolbelt,42699
2016-01-01,responses,39450
2016-01-01,retry,5704
2016-01-01,retrying,112064
2016-01-01,rfc3986,23775
2016-01-01,rsa,1375948
2016-01-01,ruamel-yaml,12458
2016-01-01,s3transfer,101
2016-01-01,schema,3058
2016-01-01,scikit-image,18366
2016-01-01,scikit-learn,128414
2016-01-01,scipy,84205
2016-01-01,scp,11524
2016-01-01,seaborn,10860
2016-01-01,secretstorage,483
2016-01-01,selenium,217793
2016-01-01,semantic-version,27742
2016-01-01,semver,6074
2016-01-01,send2trash,2501
2016-01-01,sendgrid,12685
2016-01-01,setproctitle,25107
2016-01-01,setuptools,1969149
2016-01-01,setuptools-scm,170651
2016-01-01,sh,41225
2016-01-01,shapely,18502
2016-01-01,simplejson,6257927
2016-01-01,simple-salesforce,13839
2016-01-01,six,2966209
2016-01-01,sklearn,43181
2016-01-01,slackclient,5961
2016-01-01,smart-open,9243
2016-01-01,smmap,123345
2016-01-01,snowballstemmer,112210
2016-01-01,snowflake-connector-python,191
2016-01-01,sortedcontainers,3978
2016-01-01,spacy,1533
2016-01-01,sphinx,204079
2016-01-01,sqlalchemy-bigquery,97
2016-01-01,sqlalchemy-utils,20927
2016-01-01,sqlparse,105627
2016-01-01,sshtunnel,1192
2016-01-01,statsd,75929
2016-01-01,statsmodels,9263
2016-01-01,stevedore,218902
2016-01-01,structlog,4743
2016-01-01,sympy,8167
2016-01-01,tabulate,42664
2016-01-01,tblib,2872
2016-01-01,tempora,1732
2016-01-01,termcolor,45897
2016-01-01,terminado,29734
2016-01-01,texttable,43473
2016-01-01,text-unidecode,820
2016-01-01,thinc,1340
2016-01-01,thrift,73285
2016-01-01,tifffile,640
2016-01-01,tinycss2,367
2016-01-01,tldextract,31351
2016-01-01,toml,3285
2016-01-01,toolz,11234
2016-01-01,tornado,163922
2016-01-01,tox,108661
2016-01-01,tqdm,9343
2016-01-01,traitlets,111080
2016-01-01,translationstring,18166
2016-01-01,triton,30
2016-01-01,twine,10624
2016-01-01,typeguard,284
2016-01-01,typing,2100
2016-01-01,tzlocal,51026
2016-01-01,ujson,137518
2016-01-01,unicodecsv,95907
2016-01-01,unidecode,68178
2016-01-01,uritemplate,88734
2016-01-01,urllib3,747102
2016-01-01,userpath,66
2016-01-01,uv,188
2016-01-01,validators,7048
2016-01-01,venusian,16904
2016-01-01,virtualenv,896086
2016-01-01,watchdog,42405
2016-01-01,watchtower,1228
2016-01-01,wcwidth,23180
2016-01-01,webcolors,3708
2016-01-01,webencodings,407
2016-01-01,webob,112002
2016-01-01,websocket-client,221936
2016-01-01,websockets,3071
2016-01-01,wheel,794595
2016-01-01,wrapt,184168
2016-01-01,wtforms,61850
2016-01-01,xarray,546
2016-01-01,xgboost,2088
2016-01-01,xlrd,51749
2016-01-01,xlsxwriter,28308
2016-01-01,xmltodict,63530
2016-01-01,xxhash,4339
2016-01-01,yamllint,814
2016-01-01,yapf,5244
2016-01-01,zope-deprecation,17509
2016-01-01,zope-event,27532
2016-01-01,zope-interface,157086
